,review,verified,Type Of Traveller,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Recommended,Wifi & Connectivity,year,Month,airline
638,trip verified   after i checked in at the cdg airport i went to the lounge the lounge was very nice it had all the food and beverages when i boarded the plane the female flight attendant was very nice she asked me if she can hang my coat the champagne and the warm towel was a nice touch they food was a bit salty and all i can eat was the bread but there is no butter so i pressed the call light and request for butter a male flight attendant answered and told me to wait while he looks for butter i waited and he returned and told me that theres no butter i dont speak french so i just said ok,True,Solo Leisure,Business Class,3,3,2,no,1,1,1,2024,February,air_france
639,trip verified   we did not receive the seats we paid us  for on the long haul portion of the outbound flight i asked for a refund here is how the af customer service agent responded upon reviewing your reservation and the details provided it appears that you were indeed assigned seats b and c which were in the regular economy category as per your initial booking there was no upgrade applied to these seats and you received exactly what was requested after repeated rebuttals to the af agent there has been silence,True,Couple Leisure,Economy Class,1,2,1,no,3,1,1,2024,March,air_france
640,not verified    they charged for our underseat bag stating it was too big on our way home they had two lines with live person to  check your bag so they can bill you when they force you to check it in i paid  for bags that could have been a personal item  i paid premium for economy flights and felt this is such bare bottom from such an airline,False,Family Leisure,Economy Class,4,3,1,no,3,2,1,2023,July,air_france
641,trip verified  not great staff or service compared to other airlines on a long haul flight they are the worst not enough water or drinks and sloppy service and awful food connection was too short time to transfer and flight was impossible to get resulting in more waiting hours and there is no way they should have know this everyone in the paris airport around me have either missed their flights or are struggling to get them france has the worst airline and airport,True,Solo Leisure,Economy Class,1,1,1,no,1,1,1,2024,March,air_france
642,not verified  boarded the plane at about pm from buenos aires to manchester via stop over in paris the first leg of the flight was to take  hours we were served a meal chicken curry and dinks about one hour into the flight and then nothing for  hours they kept the lights switched off until one hour before we landed and then served us breakfast but the time in france was pm during the time the lights were switched off the staff did not come round the plane i think on such a long haul we should have received breakfast and lunch and that the lights on the plane should have been switched on sooner are air france trying to save money by not providing their passengers with meals and drinks,False,Couple Leisure,Economy Class,2,2,2,no,1,1,2,2024,March,air_france
643,trip verified  air france was a step above their competitors on this route or routes of an equivalent length providing a full meal service decent selection of alcoholic beverages and the glass of champagne and ife on the flight from beirut to paris service was friendly and cheerful and they came through a few times to topup drinks and check on passengers the short flight from paris to london was also fine with a tea and coffee service provided overall the flights were good and a step up from other european airlines the downside was that my flight from beirut was delayed a couple of hours meaning i missed the connection in paris and had to overnight there however they looked after me well and soon after landing i was in a hotel room with a care package provided,True,Solo Leisure,Economy Class,3,4,4,yes,4,4,1,2024,February,air_france
644,trip verified  i misconnected in cdg on a through ticket purchased directly from air france on their website the flight from heathrow to paris left on time and landed on time but there was no one to operate the jetty at the gate which resulted in waiting another  mins on the aircraft the captain has not released the seatbelt sign asked everyone to remain seated passengers with connections were getting anxious when we were sat on the aircraft for nearly as long as the duration of the flight once we were off i started my long airside journey to the connecting flight i ran through the terminal waited for the connections bus got on the bus ran again joined the queue for immigration cleared immigration then went directly to the front of the extremely long airside security queue and very politely asked if i can be fast tracked due to short connection the security guard has agreed and allowed me through i ran again and got to the gate the aircraft was on stand but flight closed there were another  pax on this flight who missed the exact same connection behind me they all arrived  mins after i got to the gate they probably waited in security queue anyway air france refused meal vouchers accommodation and any sort of rebooking assistance stating it was my fault i had missed the connection the lady at the desk was unnecessarily rude and even said i had to buy a new ticket out of pocket at the cost of thousands of pounds and my return journey would also be lost due to me being a noshow which didnt make sense because i purchased a through ticket and a seat at the front for the security of assistance in the event of disruption luckily i know any decent airline will rebook you if you misconnect on a through ticket under such conditions i went and purchased hotel for two nights then went back to the airport and only after i had thrown a tantrum together with the other  passengers who were still there two hours later arguing with staff have they agreed to rebook us on the next flight two days later in the evening this was a horrible experience unnecessarily stressful and a waste of everyones time i have never dealt with such incompetent airline in my life three days later when i arrived at my destination my luggage you guessed it was missing despite me asking at checkin to make sure my bag would be loaded and receiving reassurance it would it only arrived in the country a week later less than  hrs before my scheduled return flight to the uk but to make it worse it could not be delivered to the address i was staying at until two days later if i wanted to have it on the same day i had the option of driving  km to the airport myself and collecting it which i did i have filed a claim for the accommodation meals and other expenses they have refused to compensate for anything saying it was not their fault i misconnected and the wait for the jetty was not as i remember it would make sense if the other passengers had all made it but when  pax misconnect its an indication it was not really possible to connect in the first place so beware of connecting via cdg air france may not rebook you if you misconnect on a through ticket,True,Solo Leisure,Economy Class,2,1,1,no,4,1,1,2024,March,air_france
645,trip verified   i just finished an absolutely horrible experience flying to and from india with air france on the way  i missed my connection to bangalore in paris because my inbound flight was delayed they routed me through dubai and when i arrived  hours later than scheduled i lost money on my hotel and my bags were delayed for  days not a word from air france then on my return there was a delay on my flight from bangalore to paris so they decided to route me through singapore which not only added  hours to my flight but meant that i would miss my connecting flight home to halifax when i sought a claim to compensate for the hundreds of dollars lost air france denied any compensation because of some law that says my flight was not within the eu  they dont care at all for their customers and when they do completely disrupt their itineraries  they abandon you and any responsibility to help you,True,Solo Leisure,Economy Class,1,1,1,no,1,1,1,2024,March,air_france
646,not verified  i cannot overstate my disappointment with air france they are certainly the most incompetent airline ive ever flown that includes many se asian low cost carriers from being unable to manage a simple code share flight at check in to poor inflight service i can only say it is a wonder their planes manage to stay aloft of course they lost my bags caused me to very close to missing my flight due to some unexplained check in problem that consumed frustrating hours at the airport and while i did think the meal in business was quite good getting any service from a flight attendant outside the delivery of the meal was next to impossible the wifi was not working and the inflight entertainment contained very little i will not willing fly air france again,False,Business,Business Class,3,1,1,no,1,4,1,2024,February,air_france
647,trip verified   singapore airport extremely efficient security control only before every gate immigration with automatic gates boarding on time catering highly sophisticated cabin crew friendly always smiling charging facilities for devices was were working wifi onboard free for messaging only surfing and streaming came at a cost but payable with miles as well self service bar during flight recent movies on screen,True,Couple Leisure,Business Class,5,5,5,yes,5,5,5,2024,February,air_france
648,trip verified   when i bought my flight from manchester to delhi with layover in paris via air france site it didnt mention anything about transit visa requirements general search says transit visa required only for layover of more than hours i even uploaded my travel info and document info in my air france account when i reached airport desk they informed me i dont have a transit visa so i cannot travel to france and denied any help i told them i booked ticket from air france site and i have to be in india with my family the manchester staff was not helpful at all,True,Couple Leisure,Economy Class,4,1,1,no,5,1,1,2023,December,air_france
649,not verified   air france changed my original connecting flight from paris to stuttgart so that instead of spending a couple of hours in transit i had to stay overnight  hours in total even being a gold member and knowing it was not my wish to stay but its choice they did not let me get in the lounge nor did they offer any kind of option when i got to my terminal g they said in a very unfriendly way that the hall is closed over night and i have to leave thanks to the wonderful airport worker who was very friendly and clearly explained to me how to find my way back to other terminal where i can spend the night to come back to this one in the morning chaotic experience and very unhelpful and unfriendly af personal,False,Solo Leisure,Economy Class,2,1,2,no,1,2,1,2024,February,air_france
650,trip verified   our flight was delayed  hours as someone gave birth on the incoming plane we missed our connecting flight we were flying toronto to paris then paris to cape town what was suppose to be a  hour trip turned into  days we lost our hotel reservation for one day air france refuses compensation stating it is out of their area  we will never fly air france again this is also not the first time this airline has had some give birth on one of their flights,True,Couple Leisure,Economy Class,1,1,1,no,1,2,1,2023,December,air_france
651,trip verified   i flew to bucharest out of hnd via cdg in business class with air france in the first leg on seating myself on a business class seat i felt squeezed in whenever i got out of my seat for a rest room or something i could not help grabbing the backrest of the seat just in front of mine which finally caused him to make a complaint to me for dinner no japanese food was available more than that the main western course they served was not suitable for my typical japanese taste however i found it logical because one of the roles af assumes is to spread french culture after dinner ample refreshments such as fruits chocolates and biscuits were presented with a bottle of champagne at the galley it was the socalled helpyourself service on the other hand i did see what i didnt want to see not a few flight attendants were bent on chatting each other they didnt intend to replace an empty bottle with a new one two hours prior to arrival as regular breakfast was served french butter regrettably whose brand name i forgot was noteworthy in the second leg regular european business class with middle seat empty the meal served here was tasty see photo the portion of cheese was impressive serving generous amount of champagne was highly appreciated the plane landed on otp as scheduled,True,Solo Leisure,Business Class,2,2,2,no,2,4,1,2023,December,air_france
652,trip verified  boarding started with a glitch because the airplane was not ready yet so we had to wait  minutes on the skybridge where it was cold  the temperature from outside flight was on time cabin crew was friendly the meal was prepared by a chef  some fancy and very tasty combination seat pitch below standard especially for business class where the only difference is the empty middle seat wifi was not working,True,Couple Leisure,Business Class,1,2,2,yes,5,5,1,2024,January,air_france
653,trip verified  i recently endured a highly inconvenient hour flight delay with air france af  from paris to mumbai on january th the lack of communication about the technical issue was frustrating after deboarding the confusion continued with no guidance on hotel arrangements leading us to a distant hotel  the following morning the gate was changed without notice i am disappointed with the overall lack of communication,True,Couple Leisure,Economy Class,3,1,1,no,3,1,1,2024,January,air_france
654,trip verified   copenhagenparis  dec  on new a checkedin in airport took only a few minutes and the officer was kind accommodating and professional i was allowed luggage checkin beyond paris the whole way to africa despite on a different ticket and on an airline without any alliance that saved me a lot of time and hassle in transit in paris going to a distant terminal as a flying blue status holder i was respected and could choose seat freely thus i pampered myself with an entire exit row the two lounges af uses in cph are both quite fine the apartment is a quiet restaurant with nice buffet while the carlsberg is merely a noisier bar with snacks and cold foods one can choose among freely them and even walk forth and back if so wanted gate boarding on time onboard drinks and wines were flowing freely and staff were good cold sandwiches served on time luggage delivered to final destination highly recommended,True,Solo Leisure,Economy Class,5,5,5,yes,4,4,5,2023,December,air_france
655,not verified   i have been traveling for many years across the world and air france has by far been my worst experience  air france has effectively ruined my honeymoon so far by losing  of  checked bags we have apple air tags in the bags and have been tracking them the whole time  at one point air france sent the bags to our destination then sent them back to the paris hub for no reason at all when dealing with customer service it is truly a nightmare they are extraordinarily rude and refuse to help or pass you to a supervisor to escalate the call my husband had important prescription medicine that i have said multiple times to them and have gone so far as to identify the terminal in the paris airport to them they refuse to listen and one representative simply stopped responding to me but stayed on the call and i could hear her breathing and typing we have been working closely with dubai airport because our bags have air tags and they are doing work trying to find it,False,Couple Leisure,Economy Class,2,1,1,no,2,1,1,2023,December,air_france
656,trip verified  in almost  years traveling this was the worst experience considering i was traveling in business class as platinum member plane was old configuration    regretfully i had a seat next to a very unpolite man unfortunately it was a very long flight since there was a stop over in bkk the purser getting off at bkk told me good luck and i needed it this man started cutting his nails he was also unstable and pants were down every time he stood up to go to toilet he has been noisy all  hours flight and had been arguing with other passengers a nightmare cause i was the closest to him i wanted to relax with a gin and tonic and it was not available on all plane this was may  i send a complaint and i got just a copypaste answer from customer service business class  platinum member customer service,True,Business,Business Class,1,1,1,no,3,1,1,2023,February,air_france
657,trip verified   this was the worst long haul flight seat was old and mine was broken the lights were switched off for  of the flight my headphones broken my usb broken tried the call bell a number of times  never answered i had to go to the galley to get someones attention the turbulence light was nearly always on when we hadnt had turbulence for  minutes  this happened regularly my wifes gluten free meal was served frozen when i complained they offered some crisps and nothing else  despite me asking if they could see if there were any other options for food i ended up leaving my earbuds in the pocket complained afterwards it was a torturous process customer services never answered my complaint everything was generic and they then closed down the complaint right afterwards i had to keep opening up new complaints just so i could get someone to respond they consistently ignored every attempt to go in depth regarding my complaint,True,Family Leisure,Premium Economy,1,3,1,no,1,2,4,2023,April,air_france
658,not verified   my first time flying air france and it was a horrible and horrendous experience my  suitcases were left in paris for almost the entire time i spent at my destination baggage claim customer service was disastrous and was no help initially given me wrong information about my baggage located and arrived several times leading to frequent trips to the airport with no luggage in sight after a few days the customer service kept pretending to have a bad network and claimed to not hear me it was obvious they were up to no good because i heard them loud and clear additionally i filed a claim that did not see light of the day eventually one of the suitcases arrived almost  weeks later and the other came the day of my departure back to dallas moreover the brand new suitcase i purchased for the trip arrived damaged essentially the entire trip i was overwhelmed with trauma and anxiety i was also unable to accomplish the reason for my trip as if that was not enough on my return trip back another one of my luggage was left behind in paris and this time delivered on the rd day after arrival leaving my perishable items condemned after all of this the claims department confirmed and then denied that they did not see my claims i truly regret ever flying air france almost three weeks have passed and i have still not received any form of compensation or at the least an apology i am thoroughly disappointed with this experience,False,Family Leisure,Economy Class,2,2,1,no,3,3,1,2023,December,air_france
659,trip verified   i bought a combined flight from gdansk to lima tickets were not cheap and i payed full ticket price but when i was checking in for the flight  hours in advance i was granted a standby seats for all  flights moreover my friend checked in later and she were not given a standby seats when i reached the support in whatsapp they asked me to come to the airport earlier and address my issue to air france agent i went to the airport at  am my flight was scheduled at  there were nobody to help me and there were no air france agent of course the advice in whatsapp was to wait until boarding starts and go to check in desk but at check in desk they could not give me the boarding pass and sent to the gate at the gate they asked to wait and only after boarding started i received boarding passes ive been in a constant stress for more than  hours no assistance and no support on my way back i had  flights provided by air france and the final flight provided by another company i had much time for interchanges bettween flights but as a result every flight has been delayed my final flight was at  and i arrived with air france at   the only thing i am grateful for is cabin crew i asked them to provide me with possibility to run first from the plane thank you for this opportunity so again only nerves and stress in paris before the check in they decided to make all the passengers to move to another part of the airport as the gate changed unexpectedly after some delay air france application showed me a message that i am entitled to compensation but when i clicked the message for several times error occurred sorry something went wrong and after several tries even the whole message about compensation disappeared the most nervous service ever,True,Solo Leisure,Economy Class,3,3,1,no,3,2,1,2023,December,air_france
660,trip verified   flew pariscopenhagen  dec  on a new a on time checked in online in paris i used the nice and spacious air france salon lounge in terminal f became rebooked to af after klm cancellation not a bad swift as i avoided a stop in amsterdam however they failed to retag my luggage which remained in paris and only arrived to denmark  days later they delivered it faultlessly by courier the entire way to my address in a distant area  km from airport i was well informed on the progress the air france flight was on time although aircraft was completely stuffed due to amsterdam traffic issues redirecting hundreds of people aircraft was modern and very nice service on board very good did not anticipate such pampering onboard an intraeuropean aircraft,True,Solo Leisure,Economy Class,3,4,3,yes,4,4,5,2023,December,air_france
661,trip verified   nov  flight from vancouver to rome with stopover via paris we landed at the opposite end of the airport and had to dismount onto the tarmac in pouring rain no overhead coverings to keep the passengers out of the wet and cold many passengers were rightly not expecting this and not dressed accordingly we were crammed onto a shuttle bus and transported to the security checkpoint plane disembarkation to security checkpoint took about  minutes our next flight was with air france and the scheduled layover was hr mins massive lineup at the security checkpoint and were shunted to a severely understaffed overflow line this overflow line had approx  planes worth of passengers and they were being screened by  staff member using an old system  baggage and security trays were ferried by hand no automation whatsoever there was a free line next to us but that was exclusively for the  or so flight staff all other passengers were ignored it took hr and mins to get through the security checkpoint there were arguments with passengers and staff there were arguments with passengers and passengers as people were beginning to panic that they were about to miss their connecting flights people were begging each other to be let through first but all were in the same situation other lines to our right were moving quickly again but people were expressly forbidden by staff from transferring lines nor did they offer to redirect once we were through we went straight to our flight gate as they were beginning to final call our names over the pa system keep in mind we were as efficient as the airport allowed us to be no bathroom breaks no shopping and walking as quickly as possible doors closed a few minutes after boarding and there were still at least  people in the line at the security checkpoint many of whom had now missed their flights through no fault of their own at our departing flight from venice to vancouver via cdg and seattle i had found that my pr card was lost or stolen and denied boarding the flight saying that the usa would not let us through even though i had my valid pr number passport and id they would not let me board without the plastic card the staff were not helpful or sympathetic and were offering bad immigration advice  they were insistent that we quickly purchase a tourist travel visa to canada online  as much as we told them that was for nonresidents only and even showed them policy on the canadian immigration website they were insistent that was the only way they would now let us through as apparently they were now deputised as us immigration officials we informed them that we as permanent residents were allowed to privately cross the uscan border in our own vehicle and we asked them to cancel to seattlevancouver leg of the journey and let us finish the flight in seattle they told us to go to the ticket desk  meters away and try there once we got to the indicated ticket desk they were confused what we were doing there and told us to go back to the air france staff who had clearly fobbed us off and again told us they cant cancel the last leg of the trip,True,Couple Leisure,Economy Class,3,1,2,no,4,2,1,2023,November,air_france
662,trip verified   booked a flight with air france then had to change plans looked at the cancellationrefund policy and it said they would refund if cancelled within  hours i thought i was within the  hour window so i went to my booking to cancel there was nothing on the cancellation confirmation saying that i was outside the  hour window which i was when i realised my mistake about  minutes later i thought it was better to keep the flight than cancel and get zero refund i went back to the website and it said refund takes awhile to process i didnt see anyway to stop the cancellation process i called them and they said i need to contact the refund team i asked how they said they would do it for me when i didnt hear anything the next day i called them again lady was very unhelpful and said it couldnt be stopped when it was started air france kept my fare for providing zero service extremely unhelpful staff and terrible website functionality,True,Couple Leisure,Economy Class,4,1,1,no,5,1,1,2023,November,air_france
663,trip verified   if you live outside of the eu air france will not compensate you for a severely delayed or cancelled flight on september  just a few hours before boarding an air france flight from vancouver to paris i was informed by email that air france had cancelled my second flight from paris to nairobi where i was supposed to begin a safari my only option was to take a kenya air flight from paris to nairobi  hours after i landed at charles de gaulle airport usually when you are forced to wait  hours because your airline cancels your flight you are offered a minimum of  euro compensation this is even written on the air france info site but air france refuses to compensate me using the loophole of an obscure  regulation that states that if the flight does not originate or end within the eu theyre off the hook first of all my cancelled flight  originated in paris which in the middle of the eu secondly since when does an international airline that flies all over the world compensate only those who fly witin the eu air france has an obligation to treat all customers equally and not give preferential treatment to customers who fly only within the eu when i flew from dublin to vancouver last year and the flight was delayed by  hours air canada paid me compensation,True,Family Leisure,Economy Class,2,1,1,no,2,1,1,2023,September,air_france
664,not verified   air france lost our three bags someone was in my seat on the plane the woman who tried to help us fill out forms about our missing bags could barely use the touch screen so we had to do it for her completely we had to wait more than three hours after we got off the plane to get our bags at our destination after they were left in paris our layover the aircrafts wheels were exceptionally squeaky and they screeched loudly constantly while we were on the ramp also the food was terrible it was a sloppy cream cheese and cucumber sandwich it was barely edible they forced us to check our bags in the first case despite there being plenty of open seats and thus room to carry our bags onto the plane like normal they needlessly created the conditions to lose our bags and followed through and succeeded in it,False,Family Leisure,Economy Class,1,1,1,no,1,1,1,2023,November,air_france
665,trip verified   very disappointing and that has become the normal experience with air france poor catering on board and on a ninehour flight no one came to offer more drinks i went to the back to fetch my own but found that the cabin crew had sealed off our compartment limiting  rows to one toilet with locked curtains so they can be alone upon arrival there was no wheelchair for me and this happens all the time at cdg airport i have an artificial leg and it is difficult for me to walk long distances yet they have me walk up the boarding bridge to the lobby then walk outside to catch their van where it drops you off at another terminals and you have to walk up steps and then an elevator and then a longish walk to where they have their wheelchair staff if you wish to fly with this group choose klm who are efficient they have wheelchairs available when you arrive take you to where you want to go we flew to bucharest and there has never been a wheelchair waiting for me so i guess they do not do that there my last three trips with afklm have resulted in delayed suitcases of up to a week they arrived as expected this time and that is the only thing air france did correctly,True,Couple Leisure,Economy Class,2,2,2,no,1,1,1,2023,November,air_france
666,trip verified   my seat was broken and would not fully recline and the  tablet was also broken my food was the same as economy wifi did not work neither did my usb socket and power plug,True,Business,Premium Economy,1,1,1,no,1,1,1,2023,November,air_france
667,trip verified   we booked our flight through air france from toronto to tangier routing us through montreal paris then arriving to tangier the first leg of the flight to montreal was operated by westjet the plane was late and arrived for our connecting flight late this cause us to miss our flight after that it was a complete chaos and unprofessional we went to air france to book us on the next flight air france says we should go west jet we went to westjet they said to go to air france no one wanted to take responsibility and kept sending us back and forth saying its the other airline fault we were at the airport for  hours going back and forth they said we should call air france to get our refund when we called air france they said we should call westjet to get our refund up to now we still have not gotten our refund,True,Couple Leisure,Economy Class,4,1,1,no,5,1,1,2023,July,air_france
668,trip verified   ive been on bad airlines and even though the amenities may be lacking the customer service was at least decent this cannot be said for air france after struggling to find room to store my luggage i had to squeeze my way up and ask the flight attendant for assistance she told me you need to figure that out yourself along with i dont know how to help you i kept telling her that i wasnt able to find bin space and that i needed help moving stuff out of the way im  i can barely reach the bins along with lifting my suitcase into a bin but she kept saying you need to figure it out on your own luckily a passenger was able to help me out,True,Solo Leisure,Economy Class,2,1,1,no,1,1,1,2023,November,air_france
669,trip verified   i recently booked a roundtrip flight from zurich to antananarivo with air france and the experience was nothing short of a nightmare from start to finish it was a series of mishaps and poor service that left me deeply stressed and unsatisfied the outbound flight from zurich was delayed by more than  minutes this delay put us in a precarious situation and we were forced to rush to catch our connecting flight at paris cdg the stress of almost missing our connection was certainly not the ideal way to begin a vacation on the return journey the problems persisted the flight from antananarivo to paris cdg experienced another significant delay causing us to miss our initial connection to amsterdam while we were rebooked on a later flight the flight from paris cdg to amsterdam was delayed by  minutes in an attempt to ensure we caught our connection in amsterdam we requested assistance from a flight attendant only to be met with a disrespectful attitude and a dismissive response upon arriving in zurich the troubles continued as our luggage was nowhere to be found three of our bags were stuck in amsterdam and one in paris cdg we were left waiting for over  hours and  minutes for our luggage from amsterdam to arrive in zurich this was particularly distressing because two of us had another flight scheduled for the following day and were uncertain whether our luggage would make it in time as a result we also missed our train connection from zurich airport to thun to top it all off the inflight meals provided by air france were subpar at best on the way to antananarivo the tomato salad had a rotten taste and for a hour flight the meal options were shockingly limited on the return journey the meals were disappointing with the second meal consisting of bread with some sauce a cold mini croissant a jam and a yogurt in summary my experience with air france on this trip was marred by delays unhelpful staff lost luggage and inadequate inflight meals  i expected better service and reliability for the price i paid and this experience fell far short of those expectations,True,Couple Leisure,Economy Class,4,2,2,no,2,2,4,2023,November,air_france
670,not verified   i found the experience very poor compared to other airlines i have used in europe this past year the food quality was poor they served drinks in tiny paper cups the snacks were fruity flavored kids drinks that were like getting a yogurt with extra sugar you rarely saw an attendant the inflight entertainment was very poor,False,Couple Leisure,Economy Class,3,1,2,no,2,1,2,2023,November,air_france
671,not verified   i flew with air france last december and experienced a very friendly welcome aboard by the crew and very comfortable seat ok legroom excellent ground staff at delhi and paris airport no wifi onboard but excellent food great movies on entertainment screen very great value for money,False,Family Leisure,Economy Class,4,5,5,yes,5,5,1,2022,December,air_france
672,not verified  bad service they lost my bag and everyday im calling more than  times and same answer your bag still in berlin we will send it as soon as possible when we have a flight and still im waiting more than  days as if there is no flight from berlin to paris everyday bad customer services it was the first time i took air france and for sure the last time,False,Business,Economy Class,1,1,1,no,1,1,1,2023,October,air_france
673,not verified   i fly air france frequently to and from french polynesia and can honestly say i have always had a great experience my most recent was however not a pleasant one neither leg of my roundtrip flight was enjoyable and felt like more of a budget airline we are frequent travelers and book specific seats we know which seats are not good a month before they changed planes and we were forced into seats that we would not have choose as they do not recline as much as the rest of that class well we were stuck and had no other seats to move too on top of that my seat was broken and the footrest could not be used so not only did i have a seat that did not recline like the rest now i had a broken footrest the only option was to move to a middle seat away from my family and sit by strangers i might have just sat in economy because the premium was really not premium the staff is amazing as always and so very nice but wow the food was absolutely horrific on both flights i remember air france pre covid having better quality food but that has really changed nothing was edible but the bread and butter,False,Couple Leisure,Premium Economy,2,4,2,no,4,1,3,2023,October,air_france
674,trip verified  horrible experience ending in a canceled flight we boarded on time at pm for a pm departure from bey to cdg and shortly after pushing back we were informed of a technical problem we returned to the gate and were told one hour later that it was fixed however shortly after pushing back again the pilot announced the problem was still not fixed and that the planes radar was out of order we were then offered to fly to athens as the weather there was good and didnt require a radar another af flight would then take us to paris however half the passengers decided to leave the plane i decided to stay but after more than  hours we were still stuck in the plane with no food or drink served then the pilot said the flight was canceled because the weather had changed a hostess started shouting at us with conflicting instructions about disembarking and then returning to our seats  a complete chaos with children crying after disembarking it was a total mess a no one knew on which flight they would be rebooked we ended being sent to a cheap hotel at midnight it was impossible to get any help from afs call center as it is based in north africa and their totally useless staff were not even able to provide accurate information they said there was no flight before  days later while i managed to get a booking the next day by talking directly to the airport staff adding insult to the injury my online complaint got me nothing more than a simple apology,True,Solo Leisure,Economy Class,2,1,1,no,1,1,1,2023,October,air_france
675,trip verified   the flight was on time and the premium economy seats are comfortable and that is about it only one hot meal was served after take off despite the hour flight duration due to russian airspace restrictions a small bag with candies and fruit juice was served before landing unlike some full service carriers who serve two full hot meals on such long flights no power socket only usb plugs  quite unacceptable for premium economy no wifi the crew did the bare minimum they served the meal then disappeared for  hours before serving the arrival refreshment the ife is ok air france packages itself as a luxury airline but in reality it is well below the competition,True,Business,Premium Economy,4,2,2,no,2,1,1,2023,October,air_france
676,trip verified   i was flying from mumbai to london with a layover in paris first of all they let us know that the flight from paris to london was cancelled then they decided to rebook our entire journey but instead of leaving at am they wanted us to leave at am and stay in the airport uncompensated in fact we couldnt even speak to anyone about this they provided us with a customer service number but it had been closed for  hours after scrambling around the airport for hours we found someone to speak to who managed to get us on the original flight and a new flight leaving from paris with a delay of  hours however due to the change they moved our seats and due to this move our vegan meals were also unavailable finally when we arrived to london after waiting an hour for our suitcase we have been notified that it was lost all the while without being able to speak to anyone on customer service,True,Couple Leisure,Economy Class,1,1,1,no,1,1,3,2023,October,air_france
677,trip verified    i booked this flight in november  as part of a round world trip as in my s i like a little comfort i also booked an isle seat upon checking in at cdg  i was told i was on standby having paid  months before it was an anxious  hour wait i did get my premium economy seat but not an aisle as requested and paid for no fun on a  hour flight in a middle seat,True,Solo Leisure,Premium Economy,1,4,4,no,4,3,1,2023,July,air_france
678,not verified   strike among air controllers in paris caused particular problems due to delays sitting in an air france plane waiting during delayed boarding is torture given the noise that is played made by a  year old who knows three chords and got his hands on a synthesizer awful same mind numbing noise if you call af flying in comfort premium economy for  rt is horrendously overpriced given the food and lack of attention this was a fairly common business class fare except for a seat that is less uncomfortable than in economy and a pouch with a toothbrush etc there is nothing to justify the price difference dinners were served both ways with a main dish in a rectangular box hidden in mashed potatoes return flight i chose duck sounds nice right more like pre chewed something mixed with or hidden underneath mashed potatoes on neither flight to and from paris did anybody stop to ask if i would like another wine or more water no drinks before dinner nothing to differentiate this premium class from economy stewards steamed backwards with cart returning from economy without so much as looking sideways to quickly reach the sanctity of the galley between business class and the premium economy you will not get any kind of service or attention that differentiates you from those in economy seats it may be air frances intention that there should be a difference but i have on my three flights with af this year seen none of it none while there are three or four bathrooms provided for business class in front of you you will in the premium section have longest walk to a bathroom of any passenger onboard true as i saw that many passengers especially couples are in their s and s this is another reason this premium section does not warrant its price the walk back through the economy section in the dark with pillows blankets and feet in the way is no fun in reaching the very back of the plane there were three thin brown sandwiches in a large box waiting together with a few chewable candies also in a large box and two stewardesses far less interested in engaging with a passenger than in talking among themselves and it is especially here that klm has a leg up on air france more often but not always do klm personnel seem more friendly and engaging with reference to my observations in the above try klm premium and compare for yourself the air france lounge is nice but if given the opportunity check out klms main lounge in amsterdam also very nice conclusion suffer economy for  to  hours and treat yourself with the significant amount of money not wasted to a nicer hotel and great and expensive meal upon arrival and on this particular flight you will guaranteed be closer to bathroom if you book an economy seat i personally prefer klm but when i need a flight on short notice it is usually af that have tickets for me a delta flight involves a stopover in the us and is typically more expensive to boot,False,Business,Premium Economy,2,2,1,no,2,2,1,2023,October,air_france
679,not verified   the flight experience was nice the bag service a disaster we were flying friday  oct  business class from bologna to paris and to denver we checked in two rollon size bags to make things easier on us but the bags stayed in paris the next day one was sent to lax a day later the other bag flew to lax then both bags flew to denver on different flights now the bags have been sitting at den waiting for someone to pick them up and send them to us i have called af numberous times ive emailed screenshots of my bag locations many times in the last two days from my airtags but noting seems to happen the customer service line just says theyre sending a message to their airport office as to where the bags are and marked urgent to get our bags to our temporary location i tried to get a supervisors contact i tried to find a phone number at the den af office to call them directly i even called the airport directly all i get is two options somehow get to the airport to pick up my bags which is not an option or wait for a reply from af the processes and customer service seem to be lacking  i will need to have the bags rerouted to scottsdale arizona since were leaving colorado tomorrow morning,False,Couple Leisure,Business Class,3,1,2,no,4,4,2,2023,October,air_france
680,not verified   we were traveling atlanta to paris we booked our seats two aisles across from each other main cabin months ahead of time when we arrived at the airport air france ticketed us into the last cabin two middle seats across the plane from each other ten rows apart when i pointed this out they said they changed planes same configuration and our seats were gone the flight was oversold and we could go tomorrow if we didnt like it so very unhappy but we boarded then we sat and sat on a hot plane for  hours before we departed very thirsty and hot we were offered a beverage  hours after boarding my food stunk too but the wine was good,False,Couple Leisure,Economy Class,2,1,1,no,2,2,1,2023,September,air_france
681,trip verified   flight to cdg was ok had bought a upgrade to business class during check in which included access to the lounge things got suspicious when the receptionist in cdg couldnt find my booking he allowed me to enter the lounge regardless where i spent the five hour layover upon boarding i was told that the flight was overbooked and i was downgraded to economy got a an aisle seat when i had paid for a window seat when booking while air france downgraded me they dont refund automatically i have to apply for it and the money has yet to arrive food was edible at best cabin was very dated duct tape was visible on seats tv screen on the bulkhead seat couldnt be kept in place on the h flight rendering it useless the ticket in economy costed  euro and ill spend this money with a decent airline next time,True,Solo Leisure,Economy Class,1,4,1,no,2,2,2,2023,September,air_france
